processor   size dir time
88th-fermi 1 fwd 1.047630786895752
88th-fermi 1 fwd 0.9315969944000244
88th-fermi 1 fwd 0.9951262474060059
88th-fermi 1 fwd 0.9875388145446777
88th-fermi 1 fwd 0.9619567394256592
88th-fermi 1 fwd 0.9842710494995117
88th-fermi 1 fwd 0.9803485870361328
88th-fermi 1 fwd 0.9610557556152344
88th-fermi 1 fwd 0.9545834064483643
88th-fermi 1 fwd 0.9931304454803467
88th-fermi 1 back 1.5828473567962646
88th-fermi 1 back 1.5778768062591553
88th-fermi 1 back 1.5827491283416748
88th-fermi 1 back 1.5871913433074951
88th-fermi 1 back 1.6203739643096924
88th-fermi 1 back 1.6113002300262451
88th-fermi 1 back 1.595487356185913
88th-fermi 1 back 1.5673496723175049
88th-fermi 1 back 1.6007492542266846
88th-fermi 1 back 1.5831117630004883
88th-fermi 1 back2 1.9282422065734863
88th-fermi 1 back2 1.913494348526001
88th-fermi 1 back2 1.9931650161743164
88th-fermi 1 back2 1.8920154571533203
88th-fermi 1 back2 1.9746217727661133
88th-fermi 1 back2 1.9237184524536133
88th-fermi 1 back2 1.9630107879638672
88th-fermi 1 back2 1.9404821395874023
88th-fermi 1 back2 1.9541306495666504
88th-fermi 1 back2 1.9333908557891846

88th-fermi 7 fwd 5.67136287689209
88th-fermi 7 fwd 5.629733085632324
88th-fermi 7 fwd 5.786125421524048
88th-fermi 7 fwd 5.560763359069824
88th-fermi 7 fwd 5.802396297454834
88th-fermi 7 fwd 5.62608790397644
88th-fermi 7 fwd 5.495428800582886
88th-fermi 7 fwd 5.765081167221069
88th-fermi 7 fwd 5.631268262863159
88th-fermi 7 fwd 5.452422618865967
88th-fermi 7 back 8.761153221130371
88th-fermi 7 back 8.887899160385132
88th-fermi 7 back 8.425534725189209
88th-fermi 7 back 8.722949266433716
88th-fermi 7 back 8.744111061096191
88th-fermi 7 back 8.609853029251099
88th-fermi 7 back 8.685945510864258
88th-fermi 7 back 8.636181831359863
88th-fermi 7 back 8.452358722686768
88th-fermi 7 back 8.739880084991455
88th-fermi 7 back2 11.0991792678833
88th-fermi 7 back2 10.664067029953003
88th-fermi 7 back2 11.217257738113403
88th-fermi 7 back2 11.258469343185425
88th-fermi 7 back2 11.213486909866333
88th-fermi 7 back2 11.448979377746582
88th-fermi 7 back2 10.958014488220215
88th-fermi 7 back2 11.641377687454224
88th-fermi 7 back2 11.639763832092285
88th-fermi 7 back2 11.3154616355896

88th-fermi 56 fwd 44.30088520050049
88th-fermi 56 fwd 43.144638538360596
88th-fermi 56 fwd 42.38089084625244
88th-fermi 56 fwd 41.11096215248108
88th-fermi 56 fwd 41.878376722335815
88th-fermi 56 back 61.905463457107544
88th-fermi 56 back 62.12606453895569
88th-fermi 56 back 62.88615655899048
88th-fermi 56 back 62.0635302066803
88th-fermi 56 back 62.56463313102722
88th-fermi 56 back2 85.70473456382751
88th-fermi 56 back2 83.08700060844421
88th-fermi 56 back2 82.22458362579346
88th-fermi 56 back2 82.41633248329163
88th-fermi 56 back2 83.64396905899048

20th-fermi 1 fwd 2.95839524269104
20th-fermi 1 fwd 2.806086540222168
20th-fermi 1 fwd 2.9093234539031982
20th-fermi 1 fwd 2.7761919498443604
20th-fermi 1 fwd 2.7250447273254395
20th-fermi 1 back 4.085805416107178
20th-fermi 1 back 4.119252681732178
20th-fermi 1 back 4.142247438430786
20th-fermi 1 back 4.057766675949097
20th-fermi 1 back 4.131505489349365
20th-fermi 1 back2 5.2868406772613525
20th-fermi 1 back2 5.183922529220581
20th-fermi 1 back2 5.135796308517456
20th-fermi 1 back2 5.2455644607543945
20th-fermi 1 back2 5.240102052688599

20th-fermi 7 fwd 18.446324110031128
20th-fermi 7 fwd 18.50871229171753
20th-fermi 7 fwd 18.158355236053467
20th-fermi 7 fwd 18.201887130737305
20th-fermi 7 fwd 18.208750247955322
20th-fermi 7 back 26.694835662841797
20th-fermi 7 back 26.886372089385986
20th-fermi 7 back 26.899660110473633
20th-fermi 7 back 26.676799774169922
20th-fermi 7 back 26.741984128952026
20th-fermi 7 back2 36.39654731750488
20th-fermi 7 back2 37.17719769477844
20th-fermi 7 back2 36.910950899124146
20th-fermi 7 back2 36.75828289985657
20th-fermi 7 back2 36.93730568885803
