processor   size    dir time
36th-r24g39 1.0E+06 fwd 0.20045137405395508
36th-r24g39 1.0E+06 fwd 0.15897512435913086
36th-r24g39 1.0E+06 fwd 0.15698504447937012
36th-r24g39 1.0E+06 fwd 0.15915608406066895
36th-r24g39 1.0E+06 fwd 0.15707087516784668
36th-r24g39 1.0E+06 fwd 0.15696430206298828
36th-r24g39 1.0E+06 fwd 0.15703701972961426
36th-r24g39 1.0E+06 fwd 0.15764069557189941
36th-r24g39 1.0E+06 fwd 0.15686392784118652
36th-r24g39 1.0E+06 fwd 0.15958023071289062
36th-r24g39 1.0E+06 back 0.2354423999786377
36th-r24g39 1.0E+06 back 0.2335047721862793
36th-r24g39 1.0E+06 back 0.26553869247436523
36th-r24g39 1.0E+06 back 0.23855280876159668
36th-r24g39 1.0E+06 back 0.23429226875305176
36th-r24g39 1.0E+06 back 0.23403024673461914
36th-r24g39 1.0E+06 back 0.2331242561340332
36th-r24g39 1.0E+06 back 0.23633837699890137
36th-r24g39 1.0E+06 back 0.23383474349975586
36th-r24g39 1.0E+06 back 0.23586297035217285
36th-r24g39 1.0E+06 back2 0.40024828910827637
36th-r24g39 1.0E+06 back2 0.415661096572876
36th-r24g39 1.0E+06 back2 0.40453529357910156
36th-r24g39 1.0E+06 back2 0.39912843704223633
36th-r24g39 1.0E+06 back2 0.6398420333862305
36th-r24g39 1.0E+06 back2 0.6410868167877197
36th-r24g39 1.0E+06 back2 0.6246511936187744
36th-r24g39 1.0E+06 back2 0.5696017742156982
36th-r24g39 1.0E+06 back2 0.5057418346405029
36th-r24g39 1.0E+06 back2 0.5237903594970703
36th-r24g39 1.0E+07 fwd 1.8245165348052979
36th-r24g39 1.0E+07 fwd 2.0141992568969727
36th-r24g39 1.0E+07 fwd 1.3137102127075195
36th-r24g39 1.0E+07 fwd 1.2886197566986084
36th-r24g39 1.0E+07 fwd 1.301671028137207
36th-r24g39 1.0E+07 fwd 1.3105778694152832
36th-r24g39 1.0E+07 fwd 1.308295488357544
36th-r24g39 1.0E+07 fwd 1.3056199550628662
36th-r24g39 1.0E+07 fwd 1.3085789680480957
36th-r24g39 1.0E+07 fwd 1.3094170093536377
36th-r24g39 1.0E+07 back 2.0742833614349365
36th-r24g39 1.0E+07 back 2.068567991256714
36th-r24g39 1.0E+07 back 2.3027820587158203
36th-r24g39 1.0E+07 back 2.5610544681549072
36th-r24g39 1.0E+07 back 2.07798433303833
36th-r24g39 1.0E+07 back 2.0796704292297363
36th-r24g39 1.0E+07 back 2.0767574310302734
36th-r24g39 1.0E+07 back 2.073524236679077
36th-r24g39 1.0E+07 back 2.0775034427642822
36th-r24g39 1.0E+07 back 2.0703234672546387
36th-r24g39 1.0E+07 back2 4.142496585845947
36th-r24g39 1.0E+07 back2 4.349024534225464
36th-r24g39 1.0E+07 back2 4.282728910446167
36th-r24g39 1.0E+07 back2 4.072827577590942
36th-r24g39 1.0E+07 back2 4.0311291217803955
36th-r24g39 1.0E+07 back2 4.387324333190918
36th-r24g39 1.0E+07 back2 4.256547689437866
36th-r24g39 1.0E+07 back2 4.05950927734375
36th-r24g39 1.0E+07 back2 4.050266981124878
36th-r24g39 1.0E+07 back2 4.051473140716553
36th-r24g39 1.0E+08 fwd 13.471786499023438
36th-r24g39 1.0E+08 fwd 12.297750234603882
36th-r24g39 1.0E+08 fwd 12.648889780044556
36th-r24g39 1.0E+08 fwd 12.668907403945923
36th-r24g39 1.0E+08 fwd 12.626698732376099
36th-r24g39 1.0E+08 fwd 12.941068887710571
36th-r24g39 1.0E+08 fwd 13.176691055297852
36th-r24g39 1.0E+08 fwd 13.51088547706604
36th-r24g39 1.0E+08 fwd 13.471181392669678
36th-r24g39 1.0E+08 fwd 13.217044115066528
36th-r24g39 1.0E+08 back 23.734251976013184
36th-r24g39 1.0E+08 back 24.486228466033936
36th-r24g39 1.0E+08 back 22.637940406799316
36th-r24g39 1.0E+08 back 22.39278483390808
36th-r24g39 1.0E+08 back 21.616832494735718
36th-r24g39 1.0E+08 back 23.27141308784485
36th-r24g39 1.0E+08 back 23.88561177253723
36th-r24g39 1.0E+08 back 21.21002984046936
36th-r24g39 1.0E+08 back 20.610257148742676
36th-r24g39 1.0E+08 back 22.562635898590088
36th-r24g39 1.0E+08 back2 41.89858317375183
36th-r24g39 1.0E+08 back2 42.05257058143616
36th-r24g39 1.0E+08 back2 41.21419930458069
36th-r24g39 1.0E+08 back2 40.85789132118225
36th-r24g39 1.0E+08 back2 41.28849935531616
36th-r24g39 1.0E+08 back2 41.24181365966797
36th-r24g39 1.0E+08 back2 41.031578063964844
36th-r24g39 1.0E+08 back2 41.17958164215088
36th-r24g39 1.0E+08 back2 41.172607421875
36th-r24g39 1.0E+08 back2 40.67703819274902
1-P100 1.0E+06 fwd 3.54636287689209
1-P100 1.0E+06 fwd 0.07765555381774902
1-P100 1.0E+06 fwd 0.07697463035583496
1-P100 1.0E+06 fwd 0.07645034790039062
1-P100 1.0E+06 fwd 0.06925010681152344
1-P100 1.0E+06 fwd 0.06931924819946289
1-P100 1.0E+06 fwd 0.06909704208374023
1-P100 1.0E+06 fwd 0.06899166107177734
1-P100 1.0E+06 fwd 0.06901192665100098
1-P100 1.0E+06 fwd 0.0690312385559082
1-P100 1.0E+06 back 0.07873654365539551
1-P100 1.0E+06 back 0.07973909378051758
1-P100 1.0E+06 back 0.08173060417175293
1-P100 1.0E+06 back 0.08171439170837402
1-P100 1.0E+06 back 0.0816795825958252
1-P100 1.0E+06 back 0.08158540725708008
1-P100 1.0E+06 back 0.07971024513244629
1-P100 1.0E+06 back 0.07916045188903809
1-P100 1.0E+06 back 0.07960176467895508
1-P100 1.0E+06 back 0.07979965209960938
1-P100 1.0E+07 fwd 0.46052002906799316
1-P100 1.0E+07 fwd 0.45070695877075195
1-P100 1.0E+07 fwd 0.45429134368896484
1-P100 1.0E+07 fwd 0.45093369483947754
1-P100 1.0E+07 fwd 0.4494006633758545
1-P100 1.0E+07 fwd 0.4498155117034912
1-P100 1.0E+07 fwd 0.44971227645874023
1-P100 1.0E+07 fwd 0.4494657516479492
1-P100 1.0E+07 fwd 0.45006299018859863
1-P100 1.0E+07 fwd 0.44966745376586914
1-P100 1.0E+07 back 0.7149038314819336
1-P100 1.0E+07 back 0.7146711349487305
1-P100 1.0E+07 back 0.7227780818939209
1-P100 1.0E+07 back 0.7145326137542725
1-P100 1.0E+07 back 0.7155227661132812
1-P100 1.0E+07 back 0.7146656513214111
1-P100 1.0E+07 back 0.7191176414489746
1-P100 1.0E+07 back 0.7155778408050537
1-P100 1.0E+07 back 0.714470624923706
1-P100 1.0E+07 back 0.7142729759216309
1-P100 1.0E+08 fwd 4.257809638977051
1-P100 1.0E+08 fwd 4.234612226486206
1-P100 1.0E+08 fwd 4.233699560165405
1-P100 1.0E+08 fwd 4.234070777893066
1-P100 1.0E+08 fwd 4.23475193977356
1-P100 1.0E+08 fwd 4.64943790435791
1-P100 1.0E+08 fwd 4.676516771316528
1-P100 1.0E+08 fwd 4.722846746444702
1-P100 1.0E+08 fwd 4.453143835067749
1-P100 1.0E+08 fwd 4.204797029495239
1-P100 1.0E+08 back 7.036451816558838
1-P100 1.0E+08 back 7.038929462432861
1-P100 1.0E+08 back 7.039782285690308
1-P100 1.0E+08 back 7.035913467407227
1-P100 1.0E+08 back 7.036466121673584
1-P100 1.0E+08 back 7.044326066970825
1-P100 1.0E+08 back 7.037594556808472
1-P100 1.0E+08 back 7.0392231941223145
1-P100 1.0E+08 back 7.038198471069336
1-P100 1.0E+08 back 7.03804087638855
2-P100 1.0E+06 fwd 3.74285888671875
2-P100 1.0E+06 fwd 0.1120154857635498
2-P100 1.0E+06 fwd 0.1025228500366211
2-P100 1.0E+06 fwd 0.09548211097717285
2-P100 1.0E+06 fwd 0.08857393264770508
2-P100 1.0E+06 fwd 0.08827829360961914
2-P100 1.0E+06 fwd 0.08814263343811035
2-P100 1.0E+06 fwd 0.0881648063659668
2-P100 1.0E+06 fwd 0.08811378479003906
2-P100 1.0E+06 fwd 0.08807015419006348
2-P100 1.0E+06 back 0.06194734573364258
2-P100 1.0E+06 back 0.0674290657043457
2-P100 1.0E+06 back 0.06540894508361816
2-P100 1.0E+06 back 0.07057023048400879
2-P100 1.0E+06 back 0.06324172019958496
2-P100 1.0E+06 back 0.06287932395935059
2-P100 1.0E+06 back 0.06329751014709473
2-P100 1.0E+06 back 0.06286096572875977
2-P100 1.0E+06 back 0.06329178810119629
2-P100 1.0E+06 back 0.06310653686523438
2-P100 1.0E+07 fwd 0.5118067264556885
2-P100 1.0E+07 fwd 0.502324104309082
2-P100 1.0E+07 fwd 0.5017879009246826
2-P100 1.0E+07 fwd 0.5022671222686768
2-P100 1.0E+07 fwd 0.5024175643920898
2-P100 1.0E+07 fwd 0.5028269290924072
2-P100 1.0E+07 fwd 0.5023658275604248
2-P100 1.0E+07 fwd 0.502098798751831
2-P100 1.0E+07 fwd 0.5024888515472412
2-P100 1.0E+07 fwd 0.5021605491638184
2-P100 1.0E+07 back 0.4823310375213623
2-P100 1.0E+07 back 0.48201894760131836
2-P100 1.0E+07 back 0.4830930233001709
2-P100 1.0E+07 back 0.48245692253112793
2-P100 1.0E+07 back 0.4820425510406494
2-P100 1.0E+07 back 0.4804198741912842
2-P100 1.0E+07 back 0.48151159286499023
2-P100 1.0E+07 back 0.4802539348602295
2-P100 1.0E+07 back 0.4817538261413574
2-P100 1.0E+07 back 0.4812283515930176
2-P100 1.0E+08 fwd 4.660869598388672
2-P100 1.0E+08 fwd 4.598015069961548
2-P100 1.0E+08 fwd 4.596558570861816
2-P100 1.0E+08 fwd 4.596615314483643
2-P100 1.0E+08 fwd 4.5982184410095215
2-P100 1.0E+08 fwd 4.60262131690979
2-P100 1.0E+08 fwd 4.601305246353149
2-P100 1.0E+08 fwd 4.610881805419922
2-P100 1.0E+08 fwd 4.600083827972412
2-P100 1.0E+08 fwd 4.596782207489014
2-P100 1.0E+08 back 4.587299346923828
2-P100 1.0E+08 back 4.587944269180298
2-P100 1.0E+08 back 4.589985370635986
2-P100 1.0E+08 back 4.588752746582031
2-P100 1.0E+08 back 4.591170787811279
2-P100 1.0E+08 back 4.590698003768921
2-P100 1.0E+08 back 4.588162660598755
2-P100 1.0E+08 back 4.586557388305664
2-P100 1.0E+08 back 4.589393854141235
2-P100 1.0E+08 back 4.58677339553833
4-P100 1.0E+06 fwd 4.098365545272827
4-P100 1.0E+06 fwd 0.11827850341796875
4-P100 1.0E+06 fwd 0.11516857147216797
4-P100 1.0E+06 fwd 0.11129260063171387
4-P100 1.0E+06 fwd 0.1083214282989502
4-P100 1.0E+06 fwd 0.1082925796508789
4-P100 1.0E+06 fwd 0.10876274108886719
4-P100 1.0E+06 fwd 0.10879373550415039
4-P100 1.0E+06 fwd 0.11036205291748047
4-P100 1.0E+06 fwd 0.09869909286499023
4-P100 1.0E+06 back 0.044269561767578125
4-P100 1.0E+06 back 0.045162200927734375
4-P100 1.0E+06 back 0.045035600662231445
4-P100 1.0E+06 back 0.04511761665344238
4-P100 1.0E+06 back 0.05743145942687988
4-P100 1.0E+06 back 0.04509758949279785
4-P100 1.0E+06 back 0.04454469680786133
4-P100 1.0E+06 back 0.04427790641784668
4-P100 1.0E+06 back 0.04482865333557129
4-P100 1.0E+06 back 0.04455685615539551
4-P100 1.0E+07 fwd 0.5106163024902344
4-P100 1.0E+07 fwd 0.5031819343566895
4-P100 1.0E+07 fwd 0.5034394264221191
4-P100 1.0E+07 fwd 0.5114080905914307
4-P100 1.0E+07 fwd 0.5064384937286377
4-P100 1.0E+07 fwd 0.5119650363922119
4-P100 1.0E+07 fwd 0.5149774551391602
4-P100 1.0E+07 fwd 0.5038900375366211
4-P100 1.0E+07 fwd 0.5069336891174316
4-P100 1.0E+07 fwd 0.510124921798706
4-P100 1.0E+07 back 0.32261085510253906
4-P100 1.0E+07 back 0.3219304084777832
4-P100 1.0E+07 back 0.3318667411804199
4-P100 1.0E+07 back 0.3395118713378906
4-P100 1.0E+07 back 0.3284306526184082
4-P100 1.0E+07 back 0.32761669158935547
4-P100 1.0E+07 back 0.3277127742767334
4-P100 1.0E+07 back 0.3275721073150635
4-P100 1.0E+07 back 0.32828545570373535
4-P100 1.0E+07 back 0.32721400260925293
4-P100 1.0E+08 fwd 4.562500715255737
4-P100 1.0E+08 fwd 4.487282752990723
4-P100 1.0E+08 fwd 4.486027479171753
4-P100 1.0E+08 fwd 4.4871392250061035
4-P100 1.0E+08 fwd 4.576377630233765
4-P100 1.0E+08 fwd 4.628543376922607
4-P100 1.0E+08 fwd 4.469515323638916
4-P100 1.0E+08 fwd 4.45025110244751
4-P100 1.0E+08 fwd 4.792261362075806
4-P100 1.0E+08 fwd 4.471940755844116
4-P100 1.0E+08 back 2.983253240585327
4-P100 1.0E+08 back 3.2250657081604004
4-P100 1.0E+08 back 3.0634214878082275
4-P100 1.0E+08 back 3.081350326538086
4-P100 1.0E+08 back 3.114633083343506
4-P100 1.0E+08 back 3.0507967472076416
4-P100 1.0E+08 back 3.172283411026001
4-P100 1.0E+08 back 3.024440050125122
4-P100 1.0E+08 back 3.0142018795013428
4-P100 1.0E+08 back 3.0833241939544678
